O[ 0] = [a^2 + 1, a^2 + 1, 1, a + 1, a^3 + a^2 + 1, a + 1, a^3 + a^2 + a + 1, a^3 + a^2 + a]
O[ 1] = [1, a^3 + a, a^3 + a, a + 1, a^2 + 1, a^2, a + 1, a^2]
O[ 2] = [a^2 + a, 1, a^3 + a^2 + a + 1, a + 1, 0, a^3 + a + 1, a^2, a^3 + a^2 + a]
O[ 3] = [a^3, a^3 + a^2 + a + 1, a^2, a^3 + a^2 + a + 1, a^3 + a^2 + 1, a^3 + a^2, a^2 + 1, a^2 + a]
O[ 4] = [a^2 + 1, a^3 + a^2, a^3 + a^2 + 1, 0, a^2, a^3 + 1, a + 1, a^3 + a^2 + 1]
O[ 5] = [a^3 + a^2 + a + 1, a^3 + a^2 + a, a^3 + a^2 + a, a^2 + a, a^3 + a + 1, a^2 + a + 1, a^3 + 1, a^2]
O[ 6] = [a^3 + a^2 + a + 1, 1, 1, a^2 + a + 1, a^3 + a^2 + a, a^3 + a^2 + 1, a + 1, 1]
O[ 7] = [a^2, a^2 + a, a, a^3 + 1, a^3 + a^2, a^3 + a^2, a, a^3 + a]
O[ 8] = [1, a^2 + a + 1, a^3 + a + 1, a^2 + 1, a^3 + 1, a^2 + 1, a + 1, a^3 + a^2 + 1]
O[ 9] = [a^3 + 1, a^3 + 1, 0, a^3 + 1, a^3 + a, a^3, a^2 + a, 1]
O[10] = [a + 1, a^2, a^3 + a + 1, 0, a^2 + a + 1, a^3 + a + 1, a^3, a^3]
O[11] = [a^2 + a, a^2 + a + 1, a^2, a + 1, a, a^3 + a^2 + a + 1, 0, a^3]
O[12] = [a^3 + a^2 + a, a, a^3 + 1, a^3 + a^2, a^3 + a^2 + 1, a^3 + a^2, 0, a^3 + a^2 + a + 1]
O[13] = [1, a^2 + a + 1, a^2, a, 0, a^3 + a, a^3 + a^2 + a + 1, 0]
O[14] = [1, a, a^3 + 1, 1, a, a, a^3 + 1, 0]
